id_venda,data_venda,produto,categoria,marca,preco_unitario,quantidade,desconto,regiao,estado,forma_pagamento,canal_venda
1,2024-01-01,Moto G84,Smartphones,Motorola,1463.13,1,0.0,Sul,RS,Cartão de Crédito,Loja Física
2,2024-01-01,Moto G84,Smartphones,Motorola,1567.13,1,0.1,Sudeste,SP,Cartão de Crédito,Online
3,2024-01-02,MacBook Air M2,Notebooks,Apple,8741.5,1,0.0,Sul,RS,Cartão de Crédito,Loja Física
4,2024-01-02,JBL Charge 5,Áudio,JBL,949.9,1,0.05,Sul,RS,Cartão de Crédito,Loja Física
5,2024-01-02,Inspiron 15,Notebooks,Dell,3533.49,2,0.05,Sul,SC,Cartão de Crédito,Online
6,2024-01-02,"Smart TV 50"" 4K",TVs,Samsung,2796.42,1,0.0,Sudeste,RJ,Boleto,Loja Física
7,2024-01-03,AirPods Pro,Áudio,Apple,1878.37,1,0.0,Sul,PR,Cartão de Crédito,Loja Física
8,2024-01-03,"Smart TV 50"" 4K",TVs,Samsung,2721.57,1,0.0,Sudeste,SP,Boleto,Online
9,2024-01-05,Cabo USB-C 2m,Acessórios,Baseus,39.46,5,0.15,Sudeste,SP,Pix,Online
10,2024-01-05,Cabo USB-C 2m,Acessórios,Baseus,39.06,3,0.0,Nordeste,CE,Cartão de Crédito,Loja Física
11,2024-01-05,Carregador Turbo 65W,Acessórios,Anker,154.19,4,0.0,Sudeste,SP,Cartão de Crédito,Online
12,2024-01-05,Redmi Note 13,Smartphones,Xiaomi,1663.96,1,0.05,Sudeste,SP,Cartão de Crédito,Online
13,2024-01-05,Fone Bluetooth Redmi Buds,Áudio,Xiaomi,192.39,1,0.05,Centro-Oeste,MT,Pix,Online
14,2024-01-05,"Smart TV 43"" Full HD",TVs,TCL,1626.28,1,0.0,Sudeste,RJ,Cartão de Débito,Online
15,2024-01-06,Aspire 5,Notebooks,Acer,2849.77,1,0.0,Sudeste,SP,Pix,Loja Física
16,2024-01-06,Mi Band 8,Wearables,Xiaomi,304.07,2,0.0,Sudeste,MG,Pix,Online
17,2024-01-06,Galaxy Watch 6,Wearables,Samsung,1779.73,1,0.0,Nordeste,PI,Cartão de Crédito,Online
18,2024-01-08,"Smart TV 50"" 4K",TVs,Samsung,2754.07,1,0.05,Sul,PR,Cartão de Débito,Online
